Open Sans 17px
25105	709	882	23	23	0	3	17	124	
20320	759	882	23	23	0	3	17	124	
20102	1600	1308	21	23	1	3	17	124	
30340	1623	1308	21	23	1	3	17	124	
26377	834	882	23	23	0	3	17	124	
19981	1665	1357	23	22	0	4	17	124	
26159	1448	156	23	24	0	3	17	124	
21495	1640	1357	23	22	0	4	17	124	
20010	440	1357	23	22	0	4	17	124	
21834	586	1108	22	23	1	3	17	124	
20154	1440	1357	23	22	0	4	17	124	
21527	538	1108	22	23	1	3	17	124	
22909	784	882	23	23	0	3	17	124	
19968	111	1521	23	9	0	10	17	124	
26469	809	882	23	23	0	3	17	124	
20040	734	882	23	23	0	3	17	124	
21704	490	1133	22	23	1	3	17	124	
29609	865	1357	23	22	0	4	17	124	
22312	684	882	23	23	0	3	17	124	
35201	1959	858	23	23	0	4	17	124	
27809	2009	858	23	23	0	3	17	124	
21152	466	1133	22	23	0	3	17	124	
36825	648	130	23	24	0	3	17	124	
23601	659	882	23	23	0	3	17	124	
22823	634	882	23	23	0	3	17	124	
35841	859	882	23	23	0	3	17	124	
25442	848	130	23	24	0	3	17	124	
23376	909	882	23	23	0	3	17	124	
21073	101	157	22	24	0	2	17	124	
22307	1340	1381	23	22	0	3	17	124	
20160	1059	882	23	23	0	3	17	124	
25171	1109	882	23	23	0	3	17	124	
20197	226	1477	23	21	0	5	17	124	
36824	898	104	23	24	0	3	17	124	
21487	1915	1357	23	22	0	4	17	124	
37027	1223	104	23	24	0	3	17	124	
21543	746	1429	22	22	1	4	17	124	
32423	1184	882	23	23	0	3	17	124	
37329	90	1357	23	22	0	3	17	124	
23567	1134	882	23	23	0	3	17	124	
32473	1159	882	23	23	0	3	17	124	
33021	1084	882	23	23	0	3	17	124	
39069	798	104	23	24	0	3	17	124	
22810	1234	1132	22	23	0	3	17	124	
37117	1034	882	23	23	0	3	17	124	
30475	1173	104	23	24	0	3	17	124	
31561	1823	104	23	24	0	2	17	124	
35828	884	882	23	23	0	3	17	124	
21734	1186	1132	22	23	1	3	17	124	
21861	1066	1132	22	23	1	3	17	124	
19979	1115	1356	23	22	0	4	17	124	
22825	1190	1356	23	22	0	4	17	124	
21451	934	882	23	23	0	3	17	124	
22242	1715	1308	21	23	1	4	17	124	
